NO,TITLE,CONTEXT,PERTANYAAN1,PERTANYAAN2,PERTANYAAN3,PERTANYAAN4,PERTANYAAN5,PERTANYAAN6,PERTANYAAN7,PERTANYAAN8,PERTANYAAN9,PERTANYAAN10,PERTANYAAN11,PERTANYAAN12,PERTANYAAN13,PERTANYAAN14,PERTANYAAN15,PERTANYAAN16,PERTANYAAN17,PERTANYAAN18,PERTANYAAN19,PERTANYAAN20,PERTANYAAN21,PERTANYAAN22,PERTANYAAN23,PERTANYAAN24,PERTANYAAN25,PERTANYAAN26,PERTANYAAN27,PERTANYAAN28,PERTANYAAN29,PERTANYAAN30,PERTANYAAN31,PERTANYAAN32,PERTANYAAN33,PERTANYAAN34,PERTANYAAN35,PERTANYAAN36,PERTANYAAN37,PERTANYAAN38,PERTANYAAN39,PERTANYAAN40,PERTANYAAN41,PERTANYAAN42,PERTANYAAN43,PERTANYAAN44,PERTANYAAN45,PERTANYAAN46,PERTANYAAN47,PERTANYAAN48,PERTANYAAN49,PERTANYAAN50,PERTANYAAN51,PERTANYAAN52,PERTANYAAN53,PERTANYAAN54,PERTANYAAN55,PERTANYAAN56,PERTANYAAN57,PERTANYAAN58,PERTANYAAN59,PERTANYAAN60,PERTANYAAN61,PERTANYAAN62,PERTANYAAN63,PERTANYAAN64,PERTANYAAN65,PERTANYAAN66,PERTANYAAN67,PERTANYAAN68,PERTANYAAN69,PERTANYAAN70,PERTANYAAN71,PERTANYAAN72,PERTANYAAN73,PERTANYAAN74,PERTANYAAN75,PERTANYAAN76,PERTANYAAN77,PERTANYAAN78,PERTANYAAN79,PERTANYAAN80,PERTANYAAN81,PERTANYAAN82,PERTANYAAN83,PERTANYAAN84,PERTANYAAN85,PERTANYAAN86,PERTANYAAN87,PERTANYAAN88,PERTANYAAN89,PERTANYAAN90,PERTANYAAN91,PERTANYAAN92,PERTANYAAN93,PERTANYAAN94,PERTANYAAN95,PERTANYAAN96,PERTANYAAN97,PERTANYAAN98,PERTANYAAN99,PERTANYAAN100,PERTANYAAN101,,,,,,,,,,,,,,,,,,,
40,"Kalau sudah diterima di IUP UGM, apakah masih boleh ikut seleksi lain atau tidak?","Jika sudah diterima di IUP UGM, masih boleh mendaftar jalur lain.","Kalau sudah diterima di IUP UGM, apakah masih boleh ikut seleksi lain atau tidak?",Apakah siswa yang sudah lolos IUP UGM boleh ikut seleksi jalur lain?,Apa kebijakan mendaftar jalur lain jika sudah diterima di IUP UGM?,Bolehkah mendaftar jalur seleksi lain jika sudah lolos IUP UGM?,Apakah penerimaan di IUP UGM menggugurkan hak untuk ikut seleksi lain?,"Jika sudah diterima di kelas IUP UGM, apakah pendaftaran jalur lain akan diblokir?",Apakah status diterima di IUP UGM melarang pendaftaran di jalur seleksi selanjutnya?,Bolehkah calon mahasiswa mengikuti seleksi penerimaan lain setelah diterima di IUP UGM?,Apa akibatnya terhadap hak mendaftar jalur lain jika saya sudah lulus IUP UGM?,Bisakah saya mendaftar seleksi mandiri jika sebelumnya sudah diterima di jalur IUP UGM?,Apakah ada larangan ikut jalur seleksi lain bagi yang sudah lulus IUP UGM?,"Saya baru saja mendapat pengumuman lulus program IUP UGM hari ini. Namun saya masih ingin mencoba jalur UTBK, apakah itu diperbolehkan?","Teman saya sudah aman karena diterima di IUP UGM, tapi dia masih penasaran dengan jalur mandiri reguler. Bolehkan dia mendaftar lagi?",Orang tua saya menyuruh saya daftar seleksi nasional lagi meskipun saya sudah keterima di kelas internasional UGM. Apakah hal tersebut melanggar aturan?,Saya ragu untuk ambil IUP UGM yang sudah saya lolosi karena ingin mencoba jalur lain. Apakah status kelulusan IUP saya melarang saya mendaftar seleksi lain?,Adik saya bingung karena sudah diterima IUP UGM tapi sekolah mewajibkannya ikut seleksi jalur reguler. Apakah dia masih bisa ikut seleksi tersebut?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Kalau sudah diterima di IUP UGM apakah masih boleh ikut seleksi lain atau tidak?,"Jika sudah diterima di IUP UGM, masih boleh mengikuti seleksi lain.",Kalau sudah diterima di IUP UGM apakah masih boleh ikut seleksi lain atau tidak?,Apakah status diterima di IUP membatasi saya untuk ikut seleksi lain?,Boleh tidak ikut seleksi kampus lain kalau sudah lolos IUP UGM?,Apakah pendaftar yang sudah lulus IUP UGM masih bisa mendaftar jalur lain?,Bisakah saya mengikuti ujian lain jika sudah diterima di IUP UGM?,Apakah penerimaan di IUP UGM bersifat mengikat dan melarang seleksi lain?,"Saya sudah keterima di IUP UGM, apakah saya dikunci dari pendaftaran lain?",Bolehkan mendaftar seleksi mandiri lain setelah lolos IUP UGM?,Apakah keikutsertaan seleksi lain dilarang jika sudah diterima IUP UGM?,"Kalau nama saya sudah masuk daftar diterima IUP UGM, bolehkah saya ikut ujian lagi?",Apakah ada larangan mengikuti tes masuk lain bagi mahasiswa baru IUP UGM?,"Saya baru saja diumumkan lolos IUP UGM, tapi saya ingin mencoba seleksi lain. Apa saya masih diizinkan?","Andi sudah bayar UKT karena lolos IUP UGM, namun teman-temannya mengajaknya ikut ujian lain. Bolehkan Andi ikut?",Rina berhasil masuk IUP UGM dan ingin mencoba peluang di kampus lain untuk cadangan. Apakah statusnya di IUP akan bermasalah?,Budi sudah memegang Letter of Acceptance dari IUP UGM. Apakah dia masih punya hak untuk mendaftar seleksi perguruan tinggi lain?,Saya keterima di IUP UGM jalur gelombang pertama. Bisakah saya iseng mendaftar ujian mandiri di bulan berikutnya?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Apakah IUP termasuk ujian mandiri?,"IUP bukan bagian dari ujian mandiri, melainkan merupakan jalur seleksi tersendiri.",Apakah IUP termasuk ujian mandiri?,IUP tuh masuk ke ujian mandiri gak sih?,Apakah IUP bisa disebut sebagai ujian mandiri?,Termasuk dalam kategori jalur apa IUP itu?,Apakah seleksi IUP digabung dengan ujian mandiri?,Bedanya IUP dengan ujian mandiri itu apa dalam hal pengelompokan jalur?,Apakah IUP merupakan bagian dari seleksi mandiri universitas?,Bagaimana status jalur IUP dibandingkan dengan ujian mandiri?,Apakah pendaftaran IUP sama dengan mendaftar ujian mandiri?,Apakah jalur IUP berdiri sendiri di luar ujian mandiri?,Masuk kategori seleksi apakah program IUP itu?,Saya berencana mendaftar ujian mandiri untuk masuk program internasional. Apakah IUP termasuk dalam pilihan ujian mandiri tersebut?,Siska bingung membedakan antara ujian mandiri dan IUP saat mendaftar. Apakah dia harus menganggap keduanya sebagai jalur yang sama?,Teman saya bilang IUP itu masuk hitungan kuota ujian mandiri. Apakah informasi tersebut benar?,"Saya mencari info tentang ujian mandiri di website, tapi tidak menemukan info IUP. Apakah IUP memang jalur seleksi yang terpisah?",Bapak Anton ingin mendaftarkan anaknya ke jalur ujian mandiri reguler dan juga IUP. Apakah dia mendaftar di sistem seleksi yang disatukan?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Lulusan SMA luar negeri daftar IUP bagaimana?,"Untuk pendaftaran IUP, silakan kunjungi laman https://admissions.ugm.ac.id/v26/  Salah satu syaratnya adalah memiliki ijazah A Level atau setara lulusan SMA.",Lulusan SMA luar negeri daftar IUP bagaimana?,Apa syarat ijazah bagi pendaftar IUP lulusan luar negeri?,Bagaimana cara mendaftar IUP bagi lulusan SMA luar negeri?,Apa itu syarat kelulusan yang setara untuk daftar IUP?,Di mana tautan pendaftaran IUP untuk lulusan sekolah asing?,Apakah ijazah A Level bisa dipakai untuk daftar IUP?,Syarat apa yang harus dipenuhi lulusan luar negeri agar bisa mendaftar IUP?,Link apa yang harus diakses untuk mendaftar program IUP?,Apakah lulusan SMA setara bisa ikut mendaftar IUP?,Apa kualifikasi minimum sekolah untuk pendaftar IUP dari luar negeri?,Harus masuk website mana jika ingin daftar IUP?,Adik saya baru lulus dari SMA di Singapura dan ingin masuk IUP. Di mana dia harus mendaftar dan apa syarat utamanya?,Saya punya ijazah A Level dari sekolah internasional. Apakah ijazah ini diakui untuk mendaftar IUP UGM?,Keluarga kami baru pindah ke Indonesia dan anak kami lulusan setara SMA di Australia. Situs apa yang harus dibuka untuk daftar IUP?,Rendi ingin mendaftar IUP tapi bingung karena ijazahnya bukan dari sekolah nasional. Apa syarat dokumen kelulusan yang diterima IUP?,Saya lulusan sekolah menengah di luar negeri dan siap mendaftar IUP. Tautan resmi mana yang bisa saya tuju?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Apakah pendaftar IUP masih bisa ikut UTBK?,Pendaftar IUP masih dapat mengikuti UTBK.,Apakah pendaftar IUP masih bisa ikut UTBK?,Apakah mengikuti UTBK diperbolehkan bagi pendaftar IUP?,Boleh tidak daftar IUP dan ikut UTBK secara bersamaan?,Apakah pendaftar IUP otomatis dilarang mengikuti UTBK?,Bisakah saya ikut UTBK setelah mendaftar program IUP?,Apakah status mendaftar IUP menghilangkan hak mengikuti UTBK?,Bolehkah pendaftar program IUP mendaftar UTBK tahun ini?,Apakah ada larangan ikut UTBK bagi calon mahasiswa IUP?,"Saya calon peserta IUP, apakah masih punya kesempatan ikut UTBK?",Bisakah peserta IUP juga menjadi peserta UTBK?,Apakah UTBK terbuka untuk mereka yang sudah daftar IUP?,"Caca sudah mengirimkan berkas pendaftaran untuk IUP, tapi ia juga butuh nilai UTBK untuk jaga-jaga. Bolehkan ia tetap ikut UTBK?",Dodi khawatir akun UTBK miliknya diblokir karena ia sudah resmi mendaftar ke jalur IUP. Apakah kekhawatiran Dodi beralasan?,Saya mendaftar IUP bulan ini dan berencana ikut tes UTBK bulan depan. Apakah saya menyalahi aturan seleksi?,Guru BK menyarankan saya ikut UTBK padahal saya sudah bayar biaya daftar IUP. Apa hal ini diperbolehkan oleh pihak kampus?,Rina sedang menyiapkan dokumen IUP dan juga belajar untuk UTBK. Apakah usahanya untuk mengikuti keduanya diizinkan?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Apakah IUP perlu sertifikat TOEFL atau IELTS?,"Untuk IUP, ada beberapa prodi yang mensyaratkan mengunggah sertifikat TOEFL. Silakan cek di laman atau website prodi IUP tujuan.",Apakah IUP perlu sertifikat TOEFL atau IELTS?,Apakah sertifikat TOEFL wajib untuk semua program IUP?,Apakah pendaftar IUP harus mengunggah sertifikat bahasa Inggris?,Di mana saya bisa mengecek syarat sertifikat TOEFL untuk IUP?,Apakah persyaratan IELTS dan TOEFL berlaku di semua prodi IUP?,Bagaimana cara mengetahui prodi IUP mana yang meminta TOEFL?,Adakah prodi IUP yang meminta unggah sertifikat TOEFL?,Apakah mengecek laman prodi diperlukan untuk tahu syarat bahasa Inggris?,Apakah semua program studi IUP mewajibkan bukti tes TOEFL?,Ke mana saya harus mencari info kewajiban TOEFL di IUP?,Apakah syarat sertifikat TOEFL di IUP bergantung pada prodinya?,Saya ingin mendaftar IUP tapi belum punya skor TOEFL. Langkah pertama apa yang harus saya lakukan untuk tahu apakah saya butuh tes tersebut?,Bimo mendaftar IUP di dua prodi berbeda dan bingung apakah keduanya butuh TOEFL. Di mana Bimo harus mencari kepastian syarat tersebut?,"Lisa mendapat info kalau masuk IUP pasti diminta TOEFL, padahal dia belum pernah tes. Apakah informasi yang didapat Lisa sepenuhnya benar?",Saya sedang menyiapkan berkas untuk IUP Ilmu Komunikasi. Apakah saya harus langsung mengunggah TOEFL atau perlu mengecek hal lain dulu?,Andi tidak mau keluar uang untuk tes TOEFL kecuali benar-benar wajib untuk prodi IUP tujuannya. Cara apa yang paling tepat untuk Andi memastikan hal itu?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Apa saja syarat pendaftaran IUP?,"Untuk mengetahui persyaratan pendaftaran IUP, silakan kunjungi laman https://admissions.ugm.ac.id/v26/ dan website prodi tujuan.",Apa saja syarat pendaftaran IUP?,Apa yang dimaksud dengan syarat pendaftaran IUP dan di mana saya bisa melihatnya?,Di mana saya bisa menemukan informasi lengkap mengenai syarat pendaftaran IUP?,Website apa yang harus dikunjungi untuk mengecek persyaratan masuk program IUP?,Apakah ada tautan resmi yang memuat syarat pendaftaran IUP?,Ke mana saya harus mencari informasi mengenai syarat pendaftaran IUP untuk prodi tujuan saya?,Bagaimana cara mengetahui dokumen persyaratan yang dibutuhkan untuk mendaftar IUP?,Laman resmi apa yang menyediakan informasi persyaratan IUP secara lengkap?,Tolong berikan alamat website untuk mengecek syarat pendaftaran program IUP.,"Selain website prodi tujuan, di laman mana lagi syarat pendaftaran IUP bisa dibaca?",Di mana saya bisa mencari tahu ketentuan dan syarat untuk mendaftar program IUP?,Anak saya ingin mendaftar program IUP tapi kami belum tahu apa saja dokumen yang dibutuhkan. Di mana kami bisa melihat daftar lengkap syarat pendaftarannya?,Saya sedang bersiap untuk masuk IUP tahun depan. Ke mana saya harus mencari informasi resmi mengenai syarat-syarat yang harus dipenuhi?,Sekolah meminta bukti persyaratan pendaftaran IUP untuk keperluan legalisir rapor. Website mana yang harus saya buka untuk mengecek detail syarat tersebut?,Saya kesulitan mencari detail syarat masuk IUP prodi Biologi. Apakah ada laman khusus yang harus saya kunjungi selain web jurusan?,Teman saya bilang syarat setiap prodi IUP bisa berbeda-beda. Ke mana saya harus memastikannya agar tidak salah siapkan berkas?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Jika diterima IUP gel 1, masih bisa ikut SNBT?","Jika mendaftar IUP gel 1, tetap bisa mengikuti SNBT. Namun, jika sudah diterima dan melakukan registrasi di IUP UGM, sebaiknya tidak melanjutkan SNBT (jika memilih UGM), karena hanya bisa diterima melalui 1 jalur. Jika tidak diterima IUP, silakan melanjutkan proses SNBT.","Jika diterima IUP gel 1, masih bisa ikut SNBT?",Apa ketentuan utama mengenai keikutsertaan SNBT bagi pendaftar IUP gelombang 1?,Apakah saya masih diperbolehkan mengikuti ujian SNBT jika sudah mendaftar IUP gelombang 1?,Bagaimana status SNBT saya apabila saya sudah diterima dan melakukan registrasi di IUP UGM?,Bolehkah saya melanjutkan proses SNBT jika saya gagal masuk IUP?,Apa alasan utama saya tidak disarankan lanjut mengikuti SNBT UGM jika sudah registrasi di IUP?,Apakah memungkinkan untuk diterima di UGM melalui dua jalur seleksi yang berbeda secara bersamaan?,Langkah apa yang harus saya ambil terkait SNBT jika ternyata saya tidak lolos seleksi IUP?,"Kalau sudah melakukan daftar ulang di IUP UGM, apakah proses pendaftaran SNBT sebaiknya dihentikan?",Apakah mendaftar di program IUP gelombang 1 secara otomatis membatalkan hak saya untuk ikut SNBT?,Bagaimana prosedur bagi calon mahasiswa yang sudah diterima IUP UGM tapi masih ingin mencoba SNBT di UGM?,Saya baru saja lolos dan melakukan registrasi di program IUP UGM gelombang 1. Apakah saya masih boleh ikut ujian SNBT untuk memilih jurusan lain di UGM?,Kemarin saya mendaftar IUP gelombang 1 tapi ternyata tidak diterima. Apakah saya masih punya kesempatan untuk ikut SNBT?,Adik saya ingin mendaftar SNBT padahal dia sudah registrasi ulang sebagai mahasiswa IUP UGM. Apa dampaknya jika dia tetap melanjutkan SNBT di kampus yang sama?,Saya sudah bayar dan registrasi IUP UGM. Bolehkah saya ikut SNBT lagi agar dapat prodi UGM yang lebih saya inginkan?,Teman saya ikut seleksi IUP gelombang 1 dan sedang menunggu pengumuman. Apakah selama proses ini dia boleh tetap mendaftar SNBT?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bagaimana jika admin prodi belum punya akun BO Student?,"Jika admin prodi belum memiliki akun BO Student, silakan hubungi Koordinator Fakultas agar dapat disampaikan ke DPP untuk pembuatan akun BO Student.",Bagaimana jika admin prodi belum punya akun BO Student?,Apa langkah pertama yang harus dilakukan jika admin prodi belum memiliki akun BO Student?,Siapa yang harus segera dihubungi apabila admin program studi belum memiliki akses akun BO Student?,Bagaimana prosedur pengajuan pembuatan akun BO Student bagi admin prodi yang belum punya?,Ke mana admin prodi harus melapor untuk bisa mendapatkan akun BO Student?,Siapa pihak yang memiliki kewenangan menyampaikan permohonan pembuatan akun BO Student ke DPP?,Apa yang harus dilakukan agar pihak DPP bisa membuatkan akun BO Student untuk admin prodi?,Lembaga atau bagian mana yang bertugas membuat akun BO Student untuk admin prodi?,"Kalau admin prodi tidak bisa mengakses sistem karena belum punya akun BO Student, siapa yang bisa menjembatani masalah ini?",Apakah ada peran Koordinator Fakultas dalam proses pembuatan akun BO Student untuk admin prodi?,Tolong jelaskan alur pelaporan pembuatan akun BO Student untuk admin prodi yang belum terdaftar.,Saya staf baru di prodi dan harus mengakses sistem tapi belum punya akun BO Student. Siapa pihak pertama yang harus saya hubungi?,Beberapa admin di jurusan kami kesulitan masuk ke sistem karena tidak ada akun BO Student. Ke mana kami harus melapor agar akunnya segera dibuatkan?,Saya ditugaskan mengelola data mahasiswa prodi tapi belum diberikan akses BO Student. Ke mana saya harus mengarahkan permohonan ini agar diteruskan ke DPP?,Koordinator Fakultas kami menerima laporan bahwa admin prodi belum bisa login BO Student. Apa langkah selanjutnya yang harus dilakukan oleh Koordinator Fakultas?,Prodi kami baru saja merekrut admin baru dan butuh akses BO Student secepatnya. Bagaimana prosedur yang benar untuk pembuatan akun tersebut?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Tidak bisa akses BO Student karena lupa password,"Jika lupa password BO Student, silakan buka laman https://simaster.ugm.ac.id/ftpass dan ikuti tahapannya, karena akses BO Student dengan sistem SSO.",Tidak bisa akses BO Student karena lupa password,Apa prosedur resmi yang harus dilakukan jika lupa password untuk mengakses BO Student?,Sistem keamanan masuk apa yang digunakan oleh BO Student?,Ke halaman website mana saya harus pergi untuk mengatasi lupa password BO Student?,Mengapa penanganan masalah lupa sandi BO Student harus melalui tautan Simaster?,"Saya lupa kata sandi BO Student saya, bagaimana tahapan untuk memulihkannya?",Tautan apa yang secara spesifik digunakan untuk mereset password BO Student?,Bagaimana langkah pemulihan jika saya sama sekali tidak bisa masuk BO Student akibat lupa sandi?,Apakah ada sistem khusus seperti SSO yang mengatur login BO Student?,"Saya tidak bisa login karena lupa password BO Student, tolong pandu saya.",Apa solusi langsung yang bisa diambil saat kehilangan akses password ke BO Student?,Apa langkah resmi untuk memulihkan akses BO Student jika sandi tidak diingat lagi?,"Budi panik tidak bisa login BO Student karena lupa password, gimana sih ini cara mengurusnya?","Roni mau akses sistem SSO BO Student tapi lupa sandinya, tolong bantu kasih tahu link buat atur ulang.","Siska terhambat masuk akun karena sandi lama hilang dari ingatan, bagaimana solusinya supaya bisa aktif lagi?","Tono bingung tahap-tahap reset password SSO itu di mana, tolong kasih tahu alamat web dan prosedurnya dong.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Gagal login BO Student, harus bagaimana?","Jika mengalami gagal login BO Student, silakan perhatikan: 
 1. Jika muncul pesan “captcha salah”, isi sesuai angka pada captcha 
 2. Jika muncul “username atau password salah”, gunakan data yang benar atau lakukan reset password","Gagal login BO Student, harus bagaimana?",Apa saja penyebab yang paling sering membuat pengguna gagal login ke BO Student?,Apa arti dari peringatan captcha salah saat mencoba login?,Bagaimana cara mengatasi pesan kesalahan captcha pada saat masuk ke BO Student?,Langkah apa yang harus diambil jika muncul peringatan username atau password salah?,"Saya terus gagal login BO Student dan mendapat notifikasi captcha salah, bagaimana cara mengisinya?",Apa tindakan yang bisa dilakukan jika kita terus mendapat pesan password salah selain mengecek ulang data?,Hal-hal utama apa saja yang perlu diperiksa saat mengalami kegagalan masuk ke sistem BO Student?,"Saya selalu gagal login BO Student dan dibilang username salah, apa solusinya?","Jika saya memilih untuk tidak menggunakan opsi reset, bagaimana cara mengatasi username atau password salah?",Bagaimana prosedur pengisian captcha yang tepat agar tidak gagal login di BO Student?,Apa tindakan yang diperlukan saat gagal masuk ke layanan BO Student?,"Andi input kode tapi muncul tulisan captcha salah terus, gimana sih ini caranya biar benar?","Siti dibilang username atau password salah saat mau login, tolong bantu apa yang harus dia perbuat sekarang.","Budi gagal masuk karena sistem menolak datanya, bagaimana cara mengatasi masalah login ini?","Rina tidak bisa login karena captcha tidak sesuai, bagaimana solusinya supaya bisa sukses masuk sistem?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Rumpun atau prodi belum sesuai, harus bagaimana?","Jika rumpun atau prodi belum sesuai, silakan hubungi Koordinator Fakultas agar dapat disampaikan ke DPP untuk penyesuaian.","Rumpun atau prodi belum sesuai, harus bagaimana?",Apa yang dimaksud dengan prosedur penyesuaian jika rumpun atau prodi belum sesuai?,Siapa pihak pertama yang berwenang untuk dihubungi terkait ketidaksesuaian prodi?,Apa fungsi dari Koordinator Fakultas dalam menangani masalah rumpun yang tidak sesuai?,Ke pihak mana Koordinator Fakultas akan meneruskan laporan permohonan penyesuaian prodi?,"Saya melihat data prodi saya tidak cocok di sistem, ke mana saya harus melapor?",Pihak mana yang pada akhirnya berhak mengeksekusi penyesuaian rumpun atau prodi?,Bagaimana alur pelaporan yang benar untuk memperbaiki data rumpun mahasiswa yang salah?,Tolong arahkan saya karena prodi di sistem tidak sesuai dengan data asli saya.,Apakah mahasiswa harus melaporkan masalah rumpun yang belum sesuai ke DPP secara langsung?,Mengapa penting untuk menghubungi Koordinator Fakultas saat ada kendala prodi yang belum sesuai?,Siapa pihak yang harus dihubungi jika data program studi pada akun tidak tepat?,"Iwan melihat rumpun di profilnya tidak sesuai dengan aslinya, gimana sih ini cara memperbaikinya?","Maya ingin data prodinya disesuaikan oleh DPP karena salah input, tolong bantu langkah lapornya ke siapa.","Roni merasa prodi yang tertera belum sinkron, bagaimana solusinya agar Koordinator Fakultas bisa memproses ini?","Siska mau minta penyesuaian data rumpun ke DPP, siapa yang harus dia hubungi terlebih dahulu?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Kapan waktu pelaporan PDDikti?,"Periode pelaporan PDDikti adalah: 
 1. Pelaporan Semester Gasal: sampai bulan April 
 2. Pelaporan Semester : sampai bulan Oktober",Kapan waktu pelaporan PDDikti?,Apa saja batas waktu untuk periode pelaporan PDDikti?,Sampai bulan apa pelaporan PDDikti semester gasal harus diselesaikan?,Bulan apa yang menjadi batas akhir pelaporan PDDikti semester gasal?,Kapan batas waktu pelaporan PDDikti untuk semester selain gasal?,Apakah pelaporan semester gasal ditutup pada bulan April?,Kapan saya paling lambat harus melaporkan PDDikti untuk semester gasal?,Bulan apa periode pelaporan semester lainnya berakhir?,Apa yang menjadi tenggat waktu pelaporan PDDikti semester gasal?,Kapan periode pelaporan PDDikti mencapai batas akhir untuk semester biasa?,Apakah saya bisa melakukan pelaporan semester gasal setelah bulan April?,"Andi baru mau lapor data PDDikti Semester Gasal di bulan Mei dan ternyata sistem sudah tidak bisa, sebenarnya batas laporannya sampai bulan apa sih?","Budi bingung kapan batas akhir pelaporan PDDikti untuk semester ini, apakah benar sampai bulan Oktober, tolong dibantu informasinya.","Siti sedang merekap data semester gasal dan ingin tahu kapan waktu maksimal pelaporan PDDikti sebelum ditutup, gimana ini solusinya?","Roni sebagai admin baru ingin memastikan periode pelaporan semester gasal itu sampai April atau bukan, tolong bantu dong?","Doni khawatir laporannya terlambat karena sekarang sudah masuk bulan April, sebenarnya kapan batas pelaporan untuk semester gasal, bantuin dong.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Tahapan apa saja untuk pelaporan PDDikti?,"Untuk pelaporan PDDikti, langkah-langkahnya adalah: 
1. Setting KRS oleh Admin Prodi
2. KRS mahasiswa melalui SIMASTER
3. Pelaporan PDDikti di BO Student oleh masing-masing Prodi malai 2 bulan perkuliahan dimulai sampai periode pelaporan ditutup",Tahapan apa saja untuk pelaporan PDDikti?,Apa saja urutan tahapan yang wajib dilakukan dalam pelaporan PDDikti?,Apa langkah pertama yang harus dikerjakan dalam proses pelaporan PDDikti?,Siapa pihak yang memiliki tugas untuk melakukan setting KRS?,Di aplikasi apa mahasiswa diwajibkan untuk mengisi KRS?,Di mana masing-masing Prodi harus melakukan pelaporan PDDikti?,Kapan waktu dimulainya pelaporan PDDikti di BO Student oleh Prodi?,Siapa yang harus turun tangan di tahap paling awal pelaporan PDDikti?,Bagaimana cara mahasiswa berpartisipasi dalam tahapan pelaporan ini?,Sampai kapan Prodi diizinkan melaporkan PDDikti di BO Student?,Apa kewajiban Prodi setelah mahasiswa selesai KRS di SIMASTER?,"Andi sudah login SIMASTER tapi mahasiswa tidak bisa KRS karena admin belum setting, sebenarnya urutan pelaporan PDDikti itu bagaimana sih?","Budi bingung kenapa tidak bisa lapor di BO Student padahal baru satu bulan perkuliahan, apa benar harus tunggu 2 bulan dulu, tolong bantu alurnya.","Siti sudah selesai setting KRS di tingkat prodi, lalu langkah selanjutnya yang harus dilakukan mahasiswa di SIMASTER itu apa ya, bantuin dong.","Roni mau lapor PDDikti tapi bingung tahapannya dimulai dari setting KRS admin atau langsung ke BO Student, gimana sih ini?","Doni sebagai staf admin prodi harus lapor PDDikti, tolong jelasin dong langkah-langkah mulai dari setting KRS sampai ke BO Student.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
